,date,fft_power
273,2010-09-30,0.02367043
274,2010-09-30,0.01988444
275,2010-09-30,0.01985424
276,2010-09-30,0.01166053
277,2010-09-30,0.01093286
278,2010-09-30,0.00700429
279,2010-09-30,0.00649705
280,2007-05-29,0.08311477
281,2007-05-29,0.07145825
282,2007-05-29,0.06372651
283,2007-05-29,0.05780224
284,2007-05-29,0.01684816
285,2007-05-29,0.01004244
286,2007-05-29,0.00944727
287,2007-05-29,0.00928826
288,2007-05-29,0.00897371
289,2007-05-29,0.00817834
290,2012-10-28,0.18090261
291,2012-10-28,0.08461645
292,2012-10-28,0.03326748
293,2012-10-28,0.01614479
294,2012-10-28,0.0153262
295,2012-10-28,0.01107226
296,2012-10-28,0.00889045
297,2012-10-28,0.00801223
298,2012-10-28,0.00746682
299,2012-10-28,0.00581443
300,2009-09-30,0.06578396
301,2009-09-30,0.0421436
302,2009-09-30,0.02025877
303,2009-09-30,0.01782197
304,2009-09-30,0.0136353
305,2009-09-30,0.01356096
306,2009-09-30,0.00523907
307,2009-09-30,0.00507728
308,2009-09-30,0.00433475
309,2009-09-30,0.00426746
310,2000-08-09,0.00926147
311,2000-08-09,0.00874106
312,2000-08-09,0.00669809
313,2000-08-09,0.00605736
314,2000-08-09,0.00411644
315,2000-08-09,0.0031712
316,2000-08-09,0.00294046
317,2000-08-09,0.00283209
318,2000-08-09,0.00259719
319,2000-08-09,0.00250207
320,2009-08-26,0.08776285
321,2009-08-26,0.07178221
322,2009-08-26,0.05583064
323,2009-08-26,0.05287459
324,2009-08-26,0.02565969
325,2009-08-26,0.01840655
326,2009-08-26,0.0183977
327,2009-08-26,0.01771374
328,2009-08-26,0.01742817
329,2009-08-26,0.01468518
330,2009-12-04,0.14862712
331,2009-12-04,0.08606149
332,2009-12-04,0.0329901
333,2009-12-04,0.01576304
334,2009-12-04,0.01476829
335,2009-12-04,0.00908905
336,2009-12-04,0.00701678
337,2009-12-04,0.00592769
338,2009-12-04,0.0056179
339,2009-12-04,0.00560126
340,2007-05-01,0.15802726
341,2007-05-01,0.07156483
342,2007-05-01,0.04672852
343,2007-05-01,0.04564647
344,2007-05-01,0.03111264
345,2007-05-01,0.02732161
346,2007-05-01,0.02634991
347,2007-05-01,0.0258439
348,2007-05-01,0.02125256
349,2007-05-01,0.02009154
350,2009-09-12,0.10933621
351,2009-09-12,0.06925622
352,2009-09-12,0.04784415
353,2009-09-12,0.0331876
354,2009-09-12,0.0328901
355,2009-09-12,0.02803745
356,2009-09-12,0.02722101
357,2009-09-12,0.02380798
358,2009-09-12,0.02123221
359,2009-09-12,0.0128292
360,2013-03-02,0.19186435
361,2013-03-02,0.11323092
362,2013-03-02,0.05242674
363,2013-03-02,0.02607552
364,2013-03-02,0.01456044
365,2013-03-02,0.01231399
366,2013-03-02,0.01131782
367,2013-03-02,0.01101308
368,2013-03-02,0.01015405
369,2013-03-02,0.0101246
370,2017-02-15,0.19672177
371,2017-02-15,0.07113239
372,2017-02-15,0.04300749
373,2017-02-15,0.03781422
374,2017-02-15,0.03506014
375,2017-02-15,0.03073234
376,2017-02-15,0.02666849
377,2017-02-15,0.02658628
378,2017-02-15,0.02214456
379,2017-02-15,0.01852001
380,2007-05-01,0.12248315
381,2007-05-01,0.11410243
382,2007-05-01,0.04086178
383,2007-05-01,0.03683917
384,2007-05-01,0.03354962
385,2007-05-01,0.03106493
386,2007-05-01,0.02215181
387,2007-05-01,0.02164879
388,2007-05-01,0.020499
389,2007-05-01,0.01954096
390,2008-02-27,0.11132592
391,2008-02-27,0.09845894
392,2008-02-27,0.06114203
393,2008-02-27,0.05806394
394,2008-02-27,0.03198965
395,2008-02-27,0.02402115
396,2008-02-27,0.0200751
397,2008-02-27,0.01845865
398,2008-02-27,0.01377687
399,2008-02-27,0.009967
400,2019-01-16,0.03745642
401,2019-01-16,0.02888133
402,2019-01-16,0.02009787
403,2019-01-16,0.0159464
404,2019-01-16,0.01163731
405,2019-01-16,0.00948104
406,2019-01-16,0.00677364
407,2019-01-16,0.0064542
408,2019-01-16,0.00643941
409,2019-01-16,0.00621555
410,2010-06-30,0.05294325
411,2010-06-30,0.05051618
412,2010-06-30,0.02275812
413,2010-06-30,0.02087394
414,2010-06-30,0.01207513
415,2010-06-30,0.01160147
416,2010-06-30,0.0111465
417,2010-06-30,0.00677888
418,2010-06-30,0.00626671
419,2010-06-30,0.00579663
420,2015-11-06,0.00902228
421,2015-11-06,0.00663687
422,2015-11-06,0.00643219
423,2015-11-06,0.00563915
424,2015-11-06,0.00554831
425,2015-11-06,0.00511697
426,2015-11-06,0.00420938
427,2015-11-06,0.00373043
428,2015-11-06,0.00357279
429,2015-11-06,0.00211259
430,2009-08-04,0.13370826
431,2009-08-04,0.08559753
432,2009-08-04,0.03011429
433,2009-08-04,0.01434349
434,2009-08-04,0.01241131
435,2009-08-04,0.01106692
436,2009-08-04,0.00911355
437,2009-08-04,0.00846067
438,2009-08-04,0.00750862
439,2009-08-04,0.00628485
440,2010-09-30,0.08753573
441,2010-09-30,0.05727379
442,2010-09-30,0.02209644
443,2010-09-30,0.01189735
444,2010-09-30,0.00796223
445,2010-09-30,0.00712126
446,2010-09-30,0.00544346
447,2010-09-30,0.00532847
448,2010-09-30,0.00492049
449,2010-09-30,0.00461771
450,2009-08-01,0.12952694
451,2009-08-01,0.02212046
452,2009-08-01,0.02085979
453,2009-08-01,0.01921483
454,2009-08-01,0.00959479
455,2009-08-01,0.00791625
456,2009-08-01,0.00595927
457,2009-08-01,0.00499589
458,2009-08-01,0.00440887
459,2009-08-01,0.00415468
460,2017-01-22,0.30016884
461,2017-01-22,0.09906915
462,2017-01-22,0.09418695
463,2017-01-22,0.0371412
464,2017-01-22,0.03697912
465,2017-01-22,0.02038659
